details,date,description,man_hours,type,location_name,grid_ref
Incident Report #60 1990,"Monday, 3 September, 1990 - 18:35", Three walkers reported hearing clear shouts for help on the other side of the valley. Area searched with no result. False alarm with good intent.,NA,Fellwalking,Far Easedale,NA
Incident Report #59 1990,"Sunday, 2 September, 1990 - 11:32",58 year old had possible heart attack and collapsed. Revived by rest of party. Airlifted to hospital by RAF Boulmer.,NA,Fellwalking,Red Screes,NA
Incident Report #58 1990,"Wednesday, 29 August, 1990 - 10:00",Everyone out looking for the man above. This time we found him safe and well.,NA,Search,Crinkle Crag,NA
Incident Report #57 1990,"Tuesday, 28 August, 1990 - 11:30","60 year old man set off from Langdale to walk to Buttermere via Crinkle Crags. Team assisted by RAF Boulmer, Furness, Eskdale, Kendal, Cockermouth and Keswick MRTs failed to find him. Search called off at 5-00 am.",NA,Search,Crinkle Crags,NA
Incident Report #56 1990,"Monday, 27 August, 1990 - 13:38",52 year old woman slipped and fractured her leg. We knew what to do.,NA,Fellwalking,Rydal Water,NA
Incident Report #55 1990,"Friday, 24 August, 1990 - 13:19",52 year old woman slipped on footpath and fractured her leg.,NA,Fellwalking,Wrynose Pass,NA
Incident Report #54 1990,"Tuesday, 21 August, 1990 - 21:45","Warden at campsite reported seeing a ""flare"". Area searched by SARDA. Nothing found.",NA,Search,Garburn Pass,NA
Incident Report #53 1990,"Monday, 6 August, 1990 - 17:25",74 year old woman slipped and fractured her femur. Team assisted by Keswick MRT. Airlifted to hospital by RAF Boulmer.,NA,Fellwalking,Esk Hause,NA
Incident Report #52 1990,"Thursday, 2 August, 1990 - 17:05","15 year old woman, part of a Girl Guide group, collapsed with exhaustion.",NA,Fellwalking,Far Easedale,NA
Incident Report #51 1990,"Thursday, 2 August, 1990 - 13:26",40 year old woman slipped on loose stones and fractured her leg.,NA,Fellwalking,Stickle Ghyll,NA
Incident Report #50 1990,"Monday, 30 July, 1990 - 13:20",11 year old boy became separated from his family. A pleasant change to have a search on a lovely sunny afternoon.,NA,Fellwalking,Loughrigg,NA
Incident Report #49 1990,"Sunday, 29 July, 1990 - 12:09",21 year old man fell about 20 feet on Scout Crag and fractured both legs and injured his spine and pelvis,NA,Rock climbing,Upper Scout Crag,NA
Incident Report #48 1990,"Saturday, 28 July, 1990 - 11:02","17 year old man, part of a group of five, slipped while jumping across the beck and dislocating his kneecap but, happily, didn't damage his Bermuda shorts",NA,Ghyll Scrambling,Stickle Ghyll,NA
Incident Report #47 1990,"Thursday, 26 July, 1990 - 13:43","17 year old woman, part of a D of E group, collapsed exhausted.",NA,Fellwalking,Greenburn,NA
Incident Report #46 1990,"Saturday, 21 July, 1990 - 06:00",Two 16 year old girls failed to turn up at Coppermines YHA. Found safe but drunk in Pub car park at 3.30pm Team assisted by Coniston MRT,NA,Fellwalking,Elterwaterr,NA
Incident Report #45 1990,"Friday, 20 July, 1990 - 13:10",Same gentleman as incident 40 whose mental health hadn't improved.,NA,Fellwalking,Thrang Quarry,NA
Incident Report #44 1990,"Tuesday, 17 July, 1990 - 11:48","16 year old man, part of a scout group on a three day expedition collapsed with heaqtstroke. Moral - don't carry very heavy sacs in very hot weather. Airlifted to Ambleside by those very accommodating chaps of RAF Boulmer.",NA,Fellwalking,Great Rig Man,NA
Incident Report #43 1990,"Sunday, 8 July, 1990 - 22:20",50 year old man collapsed with chest pains 100 yards from the last incident. Thankfully RAF Boulmer were in the area and airlifted the team up and the casualty down.,NA,Fellwalking,Hell Ghyll,NA
Incident Report #42 1990,"Saturday, 7 July, 1990 - 15:39","35 year old woman suffering from chest and arm pains during the Saunders two day Mountain Marathon. The team volunteered to carry her round the rest of the course on the stretcher, bit she declined.
 ",NA,Fellrunning,Hell Ghyll,NA
Incident Report #41 1990,"Monday, 2 July, 1990 - 15:59","60 year old man slipped on wet fellside and fractured his leg. Luckily we're ""getting the hang"" of this sort of thing.
 ",NA,Fellwalking,Wansfell,NA
Incident Report #40 1990,"Thursday, 28 June, 1990 - 11:32",40 year old mentally ill man faked his own accident,NA,Fellwalking,Gt Langdale,NA
Incident Report #39 1990,"Saturday, 23 June, 1990 - 13:35",55 year old man collapsed and died whilst on a sponsored walk around Fairfield Horseshoe. Team assisted in evacuation by personnel from RAF Leeming MRT,NA,Fellwalking,Hart Crag,NA
Incident Report #38 1990,"Friday, 22 June, 1990 - 15:05","54 year old woman slipped and, guess what, fractured her ankle.",NA,Fellwalking,Harrison Stickle,NA
Incident Report #37 1990,"Monday, 11 June, 1990 - 03:47",50 year old woman slipped on path and farctured her ankle. Team assisted by Kendal MRT,NA,Fellwalking,Grasmere,NA
Incident Report #36 1990,"Friday, 8 June, 1990 - 20:45",50 year old woman slipped crossing a beck and fractured her leg.,NA,Fellwalking,Greenburn Ghyll,NA
Incident Report #35 1990,"Thursday, 31 May, 1990 - 21:35","18 year old woman, part of a youth group, collapsed with arm and chest pains. Team assisted by members of Rossendale MRT and RAF Boulmer who airlifted her to hospital.",NA,Fellwalking,Stickle Ghyll,NA
Incident Report #34 1990,"Wednesday, 30 May, 1990 - 18:00",Tent and equipment found in sheepfold. Search by SARDA failed to find owner,NA,Fellwalking,Rydal Valley,NA
Incident Report #33 1990,"Monday, 28 May, 1990 - 17:30",63 year old woman slipped on path and sustained minor head injury and was in shock,NA,Fellwalking,The Band,NA
Incident Report #32 1990,"Saturday, 26 May, 1990 - 14:55",64 year old woman slipped and broke her ankle.,NA,Fellwalking,Snarker Pike,NA
Incident Report #31 1990,"Thursday, 24 May, 1990 - 20:28", 8 year old boy went 'walk-about' inside Great Tower Scout site. Found safe and well by SARDA at 6-45am.,NA,Search,Great Tower,NA
Incident Report #30 1990,"Monday, 21 May, 1990 - 15:20",58 year old woman slipped and fractured her leg. Airlifted to Ambleside by RAF Boulmer en route to incident 29.,NA,Fellwalking,Alcock Tarn,NA
Incident Report #29 1990,"Monday, 21 May, 1990 - 14:45",27 year old fell 100 feet onto a ledge sustaining multiple injuries. Airlifted to hospital by RAF Boulmer.,NA,Rock climbing,Gt Langdale,NA
Incident Report #28 1990,"Sunday, 20 May, 1990 - 13:06","19 year old man, part of an RAF party, slipped and fractured his ankle. A passing helicopter from RAF Boulmer gleefully airlifted the man to hospital.",NA,Fellwalking,Browney Ghyll,NA
Incident Report #27 1990,"Saturday, 19 May, 1990 - 22:00"," Two women were walking down Far Easedale. Woman 'A' left woman 'B' to make her own way down because 'B' was ""too slow"" and made no arrangements to meet up again.",NA,Fellwalking,Grasmere,NA
Incident Report #26 1990,"Saturday, 19 May, 1990 - 16:15","26 year old woman tried to avoid another para-glider and crashed, fracturing her leg.",NA,Para-gliding,Wrynose Pass,NA
Incident Report #25 1990,"Saturday, 19 May, 1990 - 12:57","43 year old man fell into the waterfalls and sustained head and leg injuries. Team assisted by SARDA, RAF St. Athan and RAF Boulmer.",NA,Scrambling,Stickle Ghyll,NA
Incident Report #24 1990,"Saturday, 19 May, 1990 - 06:00","Two men bivvi'd out on Tarn Crag after a ""liquid"" supper. Next morning one staggered down with ahead injury saying his friend had gone missing. The team with assistance from SARDA, RAF St Athan, and RAF Boulmer found him with severe exposure. Moral, don't go for a walk at night after drinking Old Peculiar! Airlifted to hospital.",NA,Search,Stickle Ghyll,NA
Incident Report #23 1990,"Wednesday, 9 May, 1990 - 22:07","19 year old man, part of ATC group, slipped and sustained a dislocated kneecap. The rescue was not helped by the team being given a highly inaccurate grid reference.
 ",NA,Fellwalking,Loughrigg Terrace,NA
Incident Report #22 1990,"Sunday, 22 April, 1990 - 22:05",69 year old woman slipped on wet fellside and injured her leg. Team assisted by personnel from RAF Leeming and Stafford.,NA,Fellwalking,Stickle Ghyll,NA
Incident Report #21 1990,"Sunday, 22 April, 1990 - 11:05",69 year old woman slipped on wet fellside and injured her leg. Team assisted by personnel from RAF Leeming and Stafford.,NA,Fellwalking,Stickle Ghyll,NA
Incident Report #20 1990,"Saturday, 21 April, 1990 - 14:07",74 year old woman slipped on a rocky path and injured her leg and knee. Team assisted by personnel from RAF Leeming and Stafford.,NA,Fellwalking,Grisedale Hause,NA
Incident Report #19 1990,"Friday, 13 April, 1990 - 18:15",38 year old man slipped on Blake Rigg and fell 15 feet onto a ledge - he could easily have fallen another 150 feet and become cragfast. He sustained a slight knee injury.,NA,Fellwalking,Blake Rigg,NA
Incident Report #18 1990,"Thursday, 12 April, 1990 - 17:25",14 year old girl twisted her foot in a hole injuring her ankle.,NA,NA,Rossett Ghyll,NA
Incident Report #17 1990,"Monday, 9 April, 1990 - 21:48",65 year old man walking the Coast to Coast slipped and injured his leg.,NA,Fellwalking,Grasmere,NA
Incident Report #16 1990,"Saturday, 31 March, 1990 - 14:05","25 year old man fell 80 feet whilst climbing and sustained serious injuries to head, neck, spine and arms. Airlifted to hospital by RAF Boulmer. Wearing a helmet saved this man's life.",NA,Rock climbing,White Ghyll,NA
Incident Report #15 1990,"Wednesday, 28 March, 1990 - 12:11",Nine people on a D. of E. exercise reported overdue. Route planned by the instructor was very ambitious in the time allowed. Found safe and well in Rossett Ghyll.,NA,Fellwalking,Loughrigg Terrace,NA
Incident Report #14 1990,"Sunday, 18 March, 1990 - 20:00",Nine people on a D. of E. exercise reported overdue. Route planned by the instructor was very ambitious in the time allowed. Found safe and well in Rossett Ghyll.,NA,Fellwalking,Wasdale to Langdale,NA
Incident Report #13 1990,"Sunday, 18 March, 1990 - 17:30",Two 17 year olds were reported overdue. Both reported to Police in Keswick safe and well after a short search with help from Furness MRT.,NA,Mountain Biking,Stake Pass,NA
Incident Report #12 1990,"Friday, 16 March, 1990 - 21:27","64 year old man suffered a heart attack and was airlifted to hospital by RAF Boulmer.
 ",NA,Mountain Biking,Red Acre Ghyll,NA
Incident Report #11 1990,"Wednesday, 14 March, 1990 - 19:15",We provided communications and radio relays for a major search in the Coniston area.,NA,Search,Coniston area,NA
Incident Report #10 1990,"Wednesday, 7 March, 1990 - 21:21",61 year old woman slipped and fractured her leg.,NA,Fellwalking,Loughrigg,NA
Incident Report #9 1990,"Friday, 2 March, 1990 - 21:19",44 year old woman fell 150 feet into the waterfall sustaining FATAL injuries. 3 team members flown direct from incident 8 by RAF Boulmer to recover body. Team assisted Kendal M.R.T.,NA,Fellwalking,Cautley Spout,NA
Incident Report #8 1990,"Friday, 2 March, 1990 - 21:14",25 year old man fell 250 FEET from Jacks Rake into deep snow and somehow survived with only minor head and other injuries. Airlifted to Ambleside by RAF Boulmer.,NA,Fellwalking,Pavey Ark,NA
Incident Report #7 1990,"Tuesday, 20 February, 1990 - 21:11",67 year old woman slipped on wet fellside and fractured her lower leg/ankle.,NA,Fellwalking,Silver Howe,NA
Incident Report #6 1990,"Sunday, 4 February, 1990 - 21:08",25 year old man slipped in North Gully and injured his foot and ankle.,NA,Fellwalking,Bowfell,NA
Incident Report #4 1990,"Sunday, 28 January, 1990 - 16:45",58 year old woman slipped injured her leg/ankle.,NA,NA,NA,NA
Incident Report #3 1990,"Sunday, 28 January, 1990 - 14:20",71 year old woman lady slipped climbing a fence and fractured her arm and collar bone.,NA,Fellwalking,Skelwith Fold,NA
Incident Report #2 1990,"Saturday, 20 January, 1990 - 16:25",24 year old woman slipped on rock path and fractured her leg/ankle.,NA,Fellwalking,Far Easedale,NA
Incident Report #1 1990,"Wednesday, 3 January, 1990 - 15:35",24 year old woman slipped on wet fellside and fractured her ankle.,NA,Fellwalking,Wansfell,NA
Incident Report #73 1991,"Monday, 30 December, 1991 - 12:25",25 year old woman collapsed with severe stomach pains.,NA,Fellwalking,Greenhead Ghyll,NA
Incident Report #72 1991,"Sunday, 29 December, 1991 - 14:45",46 year old man slipped on wet fellside and sustained a festive fractured leg.,NA,Fellwalking,Low Pike,NA
Incident Report #71 1991,"Saturday, 21 December, 1991 - 11:00",Three young boys became stranded at the junction of two very swollen rivers during floods. Fortunately some team members can walk on water.,NA,Fellwalking,Stickle Ghyll,NA
Incident Report #70 1991,"Sunday, 8 December, 1991 - 13:43","53 year old woman slipped and to no-ones surprise but her own, fractured her leg.",NA,Fellwalking,LINGMOOR FELL,NA
