title,date,loc,gridref,incident
"Man Fell 50 metres on Thornhow End, St Sunday Crag",2013-08-11,"Thornhow End, St Sunday Crag",NY 38552 15356,"At 16:40 on Sunday 11th August, Patterdale Mountain Rescue Team were called by Cumbria police to rescue a man who had fallen approximately 50 metres from Thornhow End, near to St Sunday Crag.He had suffered a head injury and was lucky that passing walkers saw the accident happen and alerted the emergency services. The rescue team together with a doctor and paramedic from the Great North Air Ambulance treated him at the scene. The air ambulance lifted equipment and team members above the casualty site, but was unable to land close by. Given the man’s location and injuries a Royal Naval Seaking helicopter from Prestwick kindly assisted with evacuation of the man to hospital in Carlisle. "
Hayeswater Dam,2013-01-05,Hayeswater Dam,NY 42752 12591,Team members assisted a fell runner who had tripped and had deep cut on his  right knee.  He was able to walk down to a team vehicle at Hayeswater Dam. 
Search On High Street,2013-01-06,Rest Dodd,NY 42913 13759,"Patterdale Mountain rescue team were called to support Penrith MRT in a search for two missing people and their dog who had become lost in fading light on High Street. Penrith teams were searching from the Haweswater side where the couple’s car was located and Patterdale teams searched  from Hayeswater Dam  up towards the Knott.The missing people were located by a Patterdale Dog handler close to Rest Dodd.  They were unhurt and able to walk off the fell with the team members before being transported back to Patterdale Rescue Centre.  The couple, who came from Morecambe, were then driven by Penrith Team back around to Hawsewater to collect their car."
Sheep rescue,2013-01-15,"Kirkstone Top, West side beneath Kilnshaw Chimney",NY 40069 08419,"A local farmer reported a sheep stuck on a ledge on a crag to the west side of Kirkstone top.  Three team members went to retrieve it, but found the ledge empty.  On further investigation an injured sheep was found close to the foot of the crag.  It was carried from the fell and returned to the farmer."
Broken Leg on icy path,2013-01-20,Aira Force,NY 39959 20555,"Patterdale Mountain Rescue team were called today to go the assistance of a man who had slipped on an icy path near Ullswater.  The 39 year old, from Carlisle, was walking at Aira Force when he slipped, resulting in a suspected fracture dislocation of his right leg.The man was in a lot of pain and needed pain relief before his leg could be moved and splinted.  Once his leg was secured and in a splint, the man was put in a stretcher and carried to one of the teams Landrover Ambulances.  The man was then driven to the road and transferred into a County Ambulance.  He was then taken to the Cumberland Infirmary."
Collapsed walker on shore path,2013-01-24,Ullswater,NY 40110 18734,"Patterdale Mountain Rescue Team were today called to assist a woman with a reported epileptic fit near Ullswater.The woman, a 23 year old from Lancashire, was walking with an organised group on the lake path between Howtown and Glenridding when she collapsed.  Members of her party reported the incident to the police who in turn called out the rescue team.  The air ambulance and a land ambulance were also mobilised.The team reached the casualty location via the lake using its rescue boat, the quickest means to access many parts of the lakeshore path.  The casualty was placed in a stretcher then taken by boat to the air ambulance, which had landed further along the shore.  She was then flown to Cumberland Infirmary, Carlisle."
Shouts Heard,2013-02-16,Grisedale Valley,NY 37672 15600,The Police contacted the Team after shouts were reported from the Grisedale Valley.  Two team members drove up to investigate and discovered that the local shepherds had been gathering stock on both sides of the valley.  The informant was contacted and it was agreed that this was probably what had been heard
Team Members Assist Keswick MRT,2013-02-23,Helvellyn Gill,NY 32406 16596,"The Team were alerted to an incident on the Thirlmere side of Helvellyn, where a father and son had fallen descending an icy path. Although the job was run by Keswick Mountain Rescue Team, it was attended by two Patterdale team members who were already out climbing on Helvellyn. Both father and son had sustained leg injuries and were eventually airlifted from scene by a Navy Sea King helicopter."
Slip results in ankle injury,2013-02-23,St Sunday Crag,NY 37421 14036,"The Team were alerted to a third incident on St Sunday Crag while the previous one was still underway. The reports stated that a 47 year old walker from Oxfordshire had fallen, again on icy slopes, fracturing his ankle. Members of Patterdale team were diverted from the second incident to this incident and given the number of incidents running, Penrith team were called to assist. Team members reached the casualty, splinted his leg and then transfred him into a strcher for winching into the Sea King which had returned from dropping off the first two casualties at hospital. All casualties were well equipped."
Party Overdue,2013-03-02,Striding Edge,NY 34801 14948,A man reported his son and grandson overdue when they failed to return from a walk over Striding Edge.  While the Team were gathering information from the reporting person the missing party made contact by phone having decended down the West side of Helvellyn in error.
Shouts heard on fellside,2013-03-06,Rooking Gill,NY 40200 16200,While the previous incident was still in progress the Team were called by the Police following a report of shouting heard coming from the fellside above Patterdale.  Three Team members were sent to investigate but nothing was found. The local farmer reported that he had been fetching his dogs in at about the time of the incident.
